IYEAR IDAY IHOUR MIN BXGSM BYGSM BZGSM VXGSE VYGSE VZGSE DEN  TEMP  SYMH    IMFFLAG   ISWFLAG TILT  Pdyn  W1   W2   W3   W4   W5   W6
2020   1 12 40    4.92   -1.01   -0.35  -319.7     4.3    12.4  10.32   67085.    4.0    1    1 -0.3255   2.05   0.26   0.27   0.04   0.15   0.19   0.42
2020   1 12 45    4.86   -1.23   -0.49  -318.5     6.2     5.9  10.18   68340.    3.0    1    1 -0.3224   2.00   0.26   0.27   0.04   0.14   0.19   0.43
2020   1 12 50    4.93   -0.06    0.12  -317.8     6.4    16.4   9.84   66396.    3.0    1    1 -0.3193   1.93   0.25   0.26   0.04   0.13   0.17   0.40
2020   1 12 55    4.91    0.06    0.13  -318.1     8.8    11.4   9.92   63927.    3.0    1    1 -0.3163   1.95   0.24   0.24   0.04   0.13   0.16   0.37
2020   1 13  0    4.93   -0.01    0.07  -316.9    11.8    15.7   9.88   63393.    3.0    1    1 -0.3133   1.93   0.23   0.23   0.04   0.12   0.14   0.35
2020   1 13  5    4.98   -0.15   -0.03  -315.6    20.6     7.5  10.03   64645.    3.0    1    1 -0.3104   1.94   0.23   0.22   0.04   0.12   0.13   0.33
2020   1 13 10    4.36   -0.13    0.57  -317.6    13.9    14.2  10.09   71097.    2.0    1    1 -0.3075   1.98   0.22   0.21   0.04   0.11   0.12   0.31
2020   1 13 15    4.04   -0.38    0.77  -317.7    12.3    13.8  10.19   73006.    2.0    1    1 -0.3046   2.00   0.21   0.20   0.04   0.11   0.11   0.29
2020   1 13 20    4.20   -0.35    0.53  -318.5    11.9    11.4  10.21   74187.    2.0    1    1 -0.3018   2.01   0.20   0.19   0.04   0.10   0.10   0.27
2020   1 13 25    3.84   -0.92    0.97  -318.5     4.1    14.1  10.35   65918.    2.0    1    1 -0.2990   2.04   0.20   0.18   0.04   0.10   0.09   0.25
2020   1 13 30    3.90   -0.28    1.73  -319.5     3.9    17.7   9.99   63711.    1.0    1    1 -0.2963   1.98   0.19   0.17   0.04   0.09   0.08   0.23
2020   1 13 35    3.76   -0.18    1.89  -319.2     2.8    16.1  10.08   64693.    1.0    1    1 -0.2937   1.99   0.19   0.16   0.04   0.09   0.07   0.22
2020   1 13 40    3.47    0.77    2.02  -321.0     1.3    19.7  10.08   61782.    2.0    1    1 -0.2910   2.02   0.18   0.15   0.04   0.08   0.07   0.20
2020   1 13 45    3.46    0.77    2.00  -321.0     2.4    18.9   9.81   61864.    3.0    2    2 -0.2885   1.96   0.17   0.14   0.04   0.08   0.06   0.19
